Date,Close
1/2/2018,73.84
1/3/2018,76.75
1/4/2018,76.73
1/5/2018,78.7
1/8/2018,79.05
1/9/2018,79.19
1/10/2018,79.37
1/11/2018,79.75
1/12/2018,80.54
1/16/2018,80.42
1/17/2018,82.47
1/18/2018,82.94
1/19/2018,83.84
1/22/2018,83.98
1/23/2018,84.21
1/24/2018,83.71
1/25/2018,84.34
1/26/2018,85.45
1/29/2018,84.31
1/30/2018,83.78
1/31/2018,85.32
2/1/2018,78.4
2/2/2018,76.57
2/5/2018,74.71
2/6/2018,75.68
2/7/2018,75.59
2/8/2018,72.32
2/9/2018,74.75
2/12/2018,75.28
2/13/2018,74.97
2/14/2018,77.27
2/15/2018,78.3
2/16/2018,78.37
2/20/2018,77.06
2/21/2018,76.51
2/22/2018,77.7
2/23/2018,79.69
2/26/2018,79.35
2/27/2018,79.46
2/28/2018,79.41
3/1/2018,78.64
3/2/2018,78.87
3/5/2018,79.07
3/6/2018,79.23
3/7/2018,79.52
3/8/2018,79.87
3/9/2018,80.71
3/12/2018,80.6
3/13/2018,80.2
3/14/2018,83.31
3/15/2018,82.57
3/16/2018,82.16
3/19/2018,80.3
3/20/2018,80.86
3/21/2018,81.04
3/22/2018,78.56
3/23/2018,76.44
3/26/2018,78.95
3/27/2018,76.31
3/28/2018,75.06
3/29/2018,75.87
4/2/2018,75
4/3/2018,74.56
4/4/2018,74.78
4/5/2018,76.95
4/6/2018,73.86
4/9/2018,75.19
4/10/2018,76.79
4/11/2018,76.5
4/12/2018,77.46
4/13/2018,77.27
4/16/2018,77.8
4/17/2018,80.03
4/18/2018,80.34
4/19/2018,79.68
4/20/2018,78.73
4/23/2018,78.21
4/24/2018,75.28
4/25/2018,74
4/26/2018,76.03
4/27/2018,74.13
4/30/2018,74.61
5/1/2018,74.81
5/2/2018,71.73
5/3/2018,73.45
5/4/2018,73.99
5/7/2018,74.67
5/8/2018,75.72
5/9/2018,77.01
5/10/2018,79.19
5/11/2018,79.2
5/14/2018,78.81
5/15/2018,77.79
5/16/2018,77.82
5/17/2018,79.19
5/18/2018,80.79
5/21/2018,81.25
5/22/2018,80.62
5/23/2018,81.08
